Ablated_Suite,Model,Features_Remaining,Accuracy,F1-Score,ROC-AUC,Accuracy_Delta,AUC_Delta
None (Control Baseline),Random Forest,32,0.8853955375253549,0.8582183186951067,0.9550451939046936,0.0,0.0
None (Control Baseline),XGBoost,32,0.9036511156186613,0.8862275449101796,0.9662742887884106,0.0,0.0
Dropped Stellar Context,Random Forest,28,0.8722109533468559,0.8444444444444444,0.9394205274685863,-0.0132,-0.0156
Dropped Stellar Context,XGBoost,28,0.8661257606490872,0.8421052631578947,0.9386797487756872,-0.0375,-0.0276
Dropped Transit Geometry,Random Forest,23,0.8833671399594321,0.8571428571428571,0.9484422299359984,-0.002,-0.0066
Dropped Transit Geometry,XGBoost,23,0.8955375253549696,0.8748481166464156,0.9606469324930724,-0.0081,-0.0056
Dropped Noise and Signal,Random Forest,21,0.8225152129817445,0.7809762202753442,0.9112410498136311,-0.0629,-0.0438
Dropped Noise and Signal,XGBoost,21,0.8326572008113591,0.7980416156670747,0.9138732692036735,-0.071,-0.0524
Dropped Eclipsing Binaries & Interference,Random Forest,24,0.8701825557809331,0.8423645320197044,0.9405626502371773,-0.0152,-0.0145
Dropped Eclipsing Binaries & Interference,XGBoost,24,0.8752535496957403,0.8516284680337757,0.9473257248743664,-0.0284,-0.0189
